feature,weight
const,3.5016472484837116
culture,2.5479618415147343e-14
generation_number,0.002641388329214403
affect,-0.3412459190125195
posemo,0.2531104587534142
informal,0.6632129890336989
netspeak,-0.11664952267678932
negemo,0.1475708041804019
leisure,-0.010524396372163097
function,-0.43007471972519173
article,0.17471225192186596
drives,0.2638334424245832
power,-0.05379635855597692
sad,-0.042860283441222224
bio,-0.7506101198544611
body,0.3011589963155741
achiev,-0.06914200728341513
adj,0.02018756113257092
cogproc,0.03319629494298467
discrep,0.005884118521353399
health,0.3018871967753858
sexual,0.08655878397756572
prep,0.2493909738657737
adverb,0.05141939159353495
relativ,0.44692259191823747
space,-0.2247614236846005
time,-0.13328518729305816
work,-0.02807278641051883
certain,-0.0895830133156107
assent,-0.3716069492104302
risk,0.042032392623859716
anger,0.02617283277469673
verb,0.10970656635710652
insight,0.10694959601011278
focuspast,0.026688768276042676
reward,-0.10260424908093947
affiliation,0.0696952901054246
social,-0.028959493625828614
friend,0.3401700560296661
money,0.01082154741437395
percept,0.09181729446317444
feel,-0.06231030902091163
motion,-0.15797718486846007
cause,-0.03429995921327014
differ,-0.03840810277266679
quant,0.06657460715284552
focuspresent,-0.13934644568995996
home,-0.007744635833182953
swear,-0.014166419116883017
anx,-0.0042375904860248725
compare,-0.018029931021059986
relig,0.0002761713485094075
nonflu,-0.4880418702480277
focusfuture,-0.02527350134289024
auxverb,0.08784176459640536
negate,0.10213706955732471
ingest,0.1928058320716277
death,0.028967687067753878
tentat,0.010145513171302134
conj,0.05417939881127974
pronoun,-2.306153525476274
ipron,1.7233932011688662
filler,-0.014837135301025331
see,-0.05557039645467241
hear,-0.06614647885336117
family,-0.577825219674903
female,1.3851539473898735
male,1.2587259872068841
number,0.039499435163074144
ppron,0.9794687992887202
shehe,-0.12078746108816982
interrog,-0.0007490443623984211
i,0.6454411664694345
you,0.6865439345350297
we,0.260107958533348
they,0.19032981292380918
