Feature,Coefficient,P>|t|
const,7.500000000000009,0.0
male,1.325035686285307,2.8302627069187962e-68
female,1.21042296718538,1.23473402867441e-40
informal,1.0591806185677226,2.2927094241799664e-35
family,0.695129008506076,2.6947979554235927e-20
health,0.6484480826141896,1.817454723437366e-61
body,0.5772991378122303,3.4686399994752423e-48
ingest,0.35407801093406566,9.870378846276832e-39
time,0.20269404968232957,0.04693074476801773
sexual,0.19904991932643384,3.999044183060617e-14
prep,0.19238690526267338,1.2649773399561492e-05
quant,0.13252075785873246,1.006814827671175e-05
article,0.11558971730088913,0.007113210416455914
adj,0.09981830835667013,0.0005355521774903489
relig,0.07656094640666555,0.0012311450459364464
anger,0.07470258574503624,0.005903388453695325
risk,0.07043799936717585,0.031744210365137894
death,0.06111201957328168,0.003955065804357808
work,0.05813546299333597,0.02709201538607132
interrog,0.055302596357324874,0.04633313349944059
money,0.053610844943920016,0.016055403151576598
compare,-0.10504852086950897,0.00011009413469330719
temperature,-0.11163266001350526,2.125353234133688e-06
sad,-0.12456435764412462,0.0015626332257904516
netspeak,-0.19513777558038944,2.6295068327810335e-16
focuspresent,-0.21662563258615644,0.0008986968248139768
nonflu,-0.37348200939557463,5.143640533408025e-12
posemo,-0.5353017253435653,0.027356935316190108
assent,-0.7791861410248935,1.3573177776598841e-47
bio,-1.287880229817053,1.987444998048599e-71
