Feature,Coefficient,P>|t|
ipron,3.1990078819734733,5.7263519897422805e-06
ppron,2.5420834723491104,1.512300256924535e-05
const,2.4999999999999947,0.0
i,1.793409269013251,2.3425353668608028e-05
you,1.3388049339032697,2.4963734950879792e-05
we,1.1194345532788377,4.544868714507784e-06
informal,0.7142219141561269,2.203014348044846e-123
shehe,0.6300920260303845,1.5594121984905886e-06
focuspresent,0.41311730251258566,1.4802888964170053e-71
they,0.4093535539678625,3.0015116755252838e-06
cogproc,0.34119788446349875,3.9765406548763095e-18
bio,0.26803224788111857,5.413324405481806e-26
negate,0.2406870449539065,1.0328084579945713e-57
friend,0.22590148094409898,1.9580624708977172e-25
relativ,0.18796933636334057,0.009246247673258289
focusfuture,0.17283647505597677,1.1064687524637199e-66
power,0.16872752952416978,1.6633963031904754e-19
reward,0.14508374405438923,1.6901739233147882e-12
see,0.11242180939837965,0.0039042609957586996
function,0.08843143486984359,0.012649056033101161
tentat,0.08696017956614492,7.33409296766768e-14
work,0.08313314518517312,3.808178011136435e-19
adverb,0.05611126797536436,5.778535404332692e-08
prep,0.05287240338730587,0.0006814747997911899
leisure,0.051087861530653256,7.806526871769728e-07
interrog,0.041116542577585444,2.754287550748727e-05
ingest,0.035666010954247776,0.00020267609302671144
risk,0.02837795593169221,0.014312733331228664
home,0.026453519165482844,0.005581288237507879
money,0.023824868979533766,0.0024547377394884594
adj,0.021177960469258694,0.03756133385454253
anger,0.019103088469942336,0.046255487311214205
filler,0.015223030395446317,0.04021321423596575
temperature,-0.01645131317562252,0.04790876587455213
swear,-0.01660796051010875,0.04299470111609453
quant,-0.0218398951939019,0.039369582682408616
compare,-0.03607643029890017,0.00017013267452937165
relig,-0.03750540620577035,7.4244973989294026e-06
article,-0.041771259639915154,0.005897943394639886
focuspast,-0.05194088682157228,1.5402616586284204e-06
anx,-0.05246425672118556,2.915786876386054e-06
certain,-0.05313712115289368,1.2534663129301349e-05
health,-0.055141731863213986,6.625857753975754e-05
discrep,-0.061440456442674124,2.395282617692651e-06
achiev,-0.06178751124647456,5.2500578378327596e-08
auxverb,-0.08154477096758908,4.152234336781104e-06
differ,-0.08390620142801916,0.00042443311807332704
cause,-0.09115817250735364,8.196640453103165e-14
motion,-0.09119648090118765,0.0013311754736716073
body,-0.10245722514399178,2.1991755684977247e-13
sexual,-0.10674267191771096,1.817902220617842e-30
verb,-0.12155908059898993,0.00011351812838875791
space,-0.126752375943909,0.0018202689973634734
insight,-0.1533876056701849,1.3298136593565251e-11
conj,-0.15669152166249162,5.313553328921022e-40
affect,-0.19185006335912663,0.02329165442631425
nonflu,-0.19829071813662488,3.4480756992389927e-25
drives,-0.3529792321608918,3.248204395548843e-13
assent,-0.6262956811694829,1.2476702690332344e-235
pronoun,-5.892537919013912,4.1435664057151885e-06
