Feature,Coefficient,P>|t|,Culture,Character_Pair
bio,0.14440533479404055,4.967148110131866e-67,UK,Daughter and Father
const,0.1250000000000002,0.0,UK,Daughter and Father
nonflu,0.07688129792025657,4.4849264988320756e-37,UK,Daughter and Father
assent,0.0655923151813354,9.68368121454178e-31,UK,Daughter and Father
affect,0.05853766190648743,0.027108313819468013,UK,Daughter and Father
netspeak,0.04382932575083806,7.66751156519081e-68,UK,Daughter and Father
work,0.006213008967986153,0.01442021247328991,UK,Daughter and Father
swear,0.0059250368948272,0.024989961689740027,UK,Daughter and Father
anger,0.005473049488233368,0.03433883799766256,UK,Daughter and Father
death,-0.004749372342731786,0.025409889793963365,UK,Daughter and Father
relig,-0.007324731513327722,0.002261263045590039,UK,Daughter and Father
anx,-0.00769736787497082,0.010991725382987313,UK,Daughter and Father
risk,-0.010320057278796771,0.0025996673357691897,UK,Daughter and Father
auxverb,-0.010787787520875173,0.034905174417607675,UK,Daughter and Father
reward,-0.013225040979296401,0.03223782928455652,UK,Daughter and Father
adverb,-0.0174224141487782,7.541938063778108e-08,UK,Daughter and Father
conj,-0.020131967028496445,1.0897408258862199e-09,UK,Daughter and Father
sexual,-0.021549122784675596,4.479800582303448e-15,UK,Daughter and Father
ingest,-0.03407795814561821,2.023182302971469e-32,UK,Daughter and Father
affiliation,-0.04053313655599789,0.011444731118408154,UK,Daughter and Father
body,-0.051851006637753494,1.5187687131627506e-41,UK,Daughter and Father
health,-0.05439393882919211,5.745049869249028e-46,UK,Daughter and Father
male,-0.1001017882344443,8.437754090391582e-29,UK,Daughter and Father
informal,-0.10578040605169439,5.9125172152143226e-33,UK,Daughter and Father
female,-0.12587966350991053,2.015004172459811e-37,UK,Daughter and Father
const,0.12499999999999997,0.0,UK,Daughter and Mother
female,0.11150168577690518,3.343349267717606e-26,UK,Daughter and Mother
verb,0.05827868150440489,7.337860920549906e-10,UK,Daughter and Mother
percept,0.05346387431437253,0.0022514574609546743,UK,Daughter and Mother
affiliation,0.03409061733105398,0.04686126311709718,UK,Daughter and Mother
cogproc,0.026222238105199167,0.04129842502397254,UK,Daughter and Mother
informal,0.025405597684174858,0.007170891641783892,UK,Daughter and Mother
power,0.01662725986106614,0.0002821057243204745,UK,Daughter and Mother
conj,0.014261761147483707,5.4271929557997635e-05,UK,Daughter and Mother
reward,0.013443763158253375,0.0419304419607153,UK,Daughter and Mother
achiev,0.01169558115045579,0.0006803108753172272,UK,Daughter and Mother
anx,0.00919943515175894,0.00451207840886259,UK,Daughter and Mother
number,-0.004806022428223282,0.042113627905522186,UK,Daughter and Mother
netspeak,-0.006391044449327156,0.017248769302170452,UK,Daughter and Mother
discrep,-0.010586006272127406,0.002918311814713729,UK,Daughter and Mother
tentat,-0.012947571768508154,0.0012015388589135677,UK,Daughter and Mother
friend,-0.027948973312995475,0.00012825171368122552,UK,Daughter and Mother
male,-0.028590125524422954,0.0029134478483011524,UK,Daughter and Mother
insight,-0.028963048500882403,0.00015083607384091933,UK,Daughter and Mother
negate,-0.031168749017760768,2.6773460305967717e-10,UK,Daughter and Mother
focuspresent,-0.041623119214788604,4.665597375303202e-10,UK,Daughter and Mother
see,-0.04583868448189388,5.120912867999882e-06,UK,Daughter and Mother
assent,-0.05327612526744474,2.0305237673573643e-18,UK,Daughter and Mother
hear,-0.05363042315708865,0.00013549663837158376,UK,Daughter and Mother
family,-0.0567380233876656,2.4336745644747073e-15,UK,Daughter and Mother
drives,-0.06048201408208112,8.374024361995146e-05,UK,Daughter and Mother
family,0.13546883366005297,2.854773830828266e-81,UK,Father and Daughter
const,0.12499999999999985,0.0,UK,Father and Daughter
bio,0.06275477982172491,8.691675687433974e-13,UK,Father and Daughter
cogproc,0.047092084047996204,0.00020185022849390172,UK,Father and Daughter
nonflu,0.025668862898878462,5.4766922711961786e-05,UK,Father and Daughter
function,0.025397950639499636,0.030135538355513185,UK,Father and Daughter
focuspresent,0.024346259397745068,0.00021757038252982465,UK,Father and Daughter
assent,0.018761928329629855,0.0017443735636106328,UK,Father and Daughter
sexual,-0.006154390594517237,0.03364612440785634,UK,Father and Daughter
swear,-0.007346522625842769,0.008427970166875062,UK,Father and Daughter
leisure,-0.007554249949045308,0.0035143760342771398,UK,Father and Daughter
discrep,-0.007857083756842607,0.025036035050822105,UK,Father and Daughter
certain,-0.008670912528639914,0.0368485014579629,UK,Father and Daughter
interrog,-0.008731607762157392,0.00212511674555225,UK,Father and Daughter
ingest,-0.00995887402643804,0.0010020998632604228,UK,Father and Daughter
quant,-0.010892382466243477,0.00020089747946383288,UK,Father and Daughter
focuspast,-0.011012073678889376,0.0013424225523126112,UK,Father and Daughter
tentat,-0.015777789139028518,6.25930786282123e-05,UK,Father and Daughter
netspeak,-0.0171858417410701,8.453417878805099e-11,UK,Father and Daughter
health,-0.021120222651375024,1.511753573336645e-07,UK,Father and Daughter
prep,-0.02177620377096739,1.1688288322326121e-05,UK,Father and Daughter
body,-0.022078462604722644,4.7266364042051564e-08,UK,Father and Daughter
differ,-0.02251779846936773,0.002440610772973887,UK,Father and Daughter
article,-0.025536199522326053,9.28019253795873e-08,UK,Father and Daughter
friend,-0.02720677401353478,0.00015577767938921677,UK,Father and Daughter
insight,-0.036112210453094325,1.6476522355379154e-06,UK,Father and Daughter
male,-0.16593144946638483,3.3054861113504086e-68,UK,Father and Daughter
female,-0.2747075756614625,7.012617008110039e-152,UK,Father and Daughter
const,0.12499999999999989,0.0,UK,Father and Son
family,0.0914962086026672,8.432293550867534e-49,UK,Father and Son
male,0.08444935510240496,4.5147313214954835e-24,UK,Father and Son
posemo,0.0760574909770212,0.002184312478575612,UK,Father and Son
assent,0.03367549803244102,1.75698950969849e-10,UK,Father and Son
focuspresent,0.025091272278328896,1.4961370545581235e-05,UK,Father and Son
see,0.023422841194448183,0.007238627759727993,UK,Father and Son
body,0.022970846468444262,1.086525995548196e-10,UK,Father and Son
negemo,0.02204679519415695,0.01890850503471174,UK,Father and Son
health,0.02023066048471774,1.1021645839677019e-08,UK,Father and Son
negate,0.016434482397307586,0.00012327532836654164,UK,Father and Son
insight,0.01587220016675477,0.01668001056629783,UK,Father and Son
differ,0.015534962762566558,0.01752423345631119,UK,Father and Son
tentat,0.014464245121593767,3.059625738406849e-05,UK,Father and Son
certain,0.013898444239101358,0.00014421922960461016,UK,Father and Son
sexual,0.01303596385746672,3.2130410514528803e-07,UK,Father and Son
sad,0.00922243956471282,0.012772995647954234,UK,Father and Son
ingest,0.00910826045342222,0.0006297644054792689,UK,Father and Son
interrog,0.0070849585180911955,0.004623318388735767,UK,Father and Son
filler,0.0070362046769938055,0.0003348957442074694,UK,Father and Son
quant,0.006616836655910127,0.010281964726350129,UK,Father and Son
adverb,0.006462801253338609,0.031632666606092846,UK,Father and Son
focusfuture,0.006361649653294918,0.01684994691425047,UK,Father and Son
discrep,0.006175463474746579,0.045391204188675004,UK,Father and Son
number,-0.004656145041242129,0.023259813733753618,UK,Father and Son
home,-0.007036810586540615,0.0029172253805264062,UK,Father and Son
achiev,-0.008700246797093142,0.00358342575364285,UK,Father and Son
anger,-0.00976467194739544,4.8023252023364964e-05,UK,Father and Son
netspeak,-0.01576164106304111,1.3384370272923609e-11,UK,Father and Son
informal,-0.01609627557370578,0.049607590704257506,UK,Father and Son
verb,-0.021064606743935226,0.010274004568357394,UK,Father and Son
nonflu,-0.02109347307419901,0.00016551376131556636,UK,Father and Son
cogproc,-0.04554533220271662,4.431679646766773e-05,UK,Father and Son
bio,-0.06696364733473772,4.519641586441025e-18,UK,Father and Son
affect,-0.08132855125045342,0.000945571683094353,UK,Father and Son
female,-0.0995312789677206,1.2536541447871167e-27,UK,Father and Son
const,0.12499999999999993,0.0,UK,Mother and Daughter
female,0.07612293789837969,8.820187494744067e-13,UK,Mother and Daughter
affiliation,0.049305370708899496,0.004517233392997066,UK,Mother and Daughter
hear,0.0384774326110279,0.006829176034242578,UK,Mother and Daughter
feel,0.02504482973925455,0.0002993743146243793,UK,Mother and Daughter
see,0.02349564739638442,0.020922942631469165,UK,Mother and Daughter
insight,0.02105049534962735,0.00650390641708452,UK,Mother and Daughter
body,0.02103438442437526,4.032055321847329e-07,UK,Mother and Daughter
focuspresent,0.02074364341865973,0.0021519044538835814,UK,Mother and Daughter
