Feature,Coefficient,P>|t|,Merged_Label
function,0.0777301851410398,7.077262810379458e-45,Daughter and Father_Iran
const,0.06249999999999996,0.0,Daughter and Father_Iran
posemo,0.059246818125917644,9.044487974393654e-06,Daughter and Father_Iran
assent,0.05185942296505522,9.666812941098745e-69,Daughter and Father_Iran
social,0.042845466698331724,2.6843887903844393e-18,Daughter and Father_Iran
cogproc,0.02654429165482185,1.4387147389708451e-05,Daughter and Father_Iran
friend,0.023614807275943468,2.5696148718247323e-12,Daughter and Father_Iran
negemo,0.0218845506323169,5.173000439709391e-05,Daughter and Father_Iran
nonflu,0.009643498452904485,0.001193876605259297,Daughter and Father_Iran
health,0.009068594511856596,2.5188016383404924e-05,Daughter and Father_Iran
home,0.008457636874635108,1.277371456237692e-08,Daughter and Father_Iran
focusfuture,0.008220029494178027,1.3027404227647808e-07,Daughter and Father_Iran
netspeak,0.006979876902337151,1.0019294307891849e-07,Daughter and Father_Iran
swear,0.004393913749862957,0.000585799369049268,Daughter and Father_Iran
compare,0.0033775977201435424,0.023788395955110862,Daughter and Father_Iran
adj,-0.00322973426367149,0.04168670016911836,Daughter and Father_Iran
work,-0.003531263611303055,0.014666306527392769,Daughter and Father_Iran
risk,-0.003972752176610679,0.027669045472263776,Daughter and Father_Iran
anger,-0.004220666867295168,0.0046884521650413045,Daughter and Father_Iran
money,-0.005431017190736699,9.271425813986202e-06,Daughter and Father_Iran
anx,-0.006026090801415433,0.0005611244079150642,Daughter and Father_Iran
focuspast,-0.007987765232968536,2.0729658671111958e-06,Daughter and Father_Iran
discrep,-0.008967150415331108,9.830338225830876e-06,Daughter and Father_Iran
differ,-0.009312007154309535,0.012008444395652526,Daughter and Father_Iran
quant,-0.010760022634866898,7.18819123740245e-11,Daughter and Father_Iran
reward,-0.011277150424580315,0.0004253148889715277,Daughter and Father_Iran
tentat,-0.012191728087492422,1.623582146823995e-11,Daughter and Father_Iran
motion,-0.012869448710170586,0.0036348277381448146,Daughter and Father_Iran
focuspresent,-0.014034570993226936,9.207599411517865e-05,Daughter and Father_Iran
time,-0.01467708636830264,0.008912343192016486,Daughter and Father_Iran
conj,-0.014686549427673534,1.536888614323226e-15,Daughter and Father_Iran
bio,-0.015002485759773074,0.00014915134296046055,Daughter and Father_Iran
insight,-0.01807878285264196,3.0350354717793975e-07,Daughter and Father_Iran
affiliation,-0.018646061899048348,0.027849226475417304,Daughter and Father_Iran
prep,-0.01871027281563296,1.1924100878371543e-14,Daughter and Father_Iran
negate,-0.019284030206900577,1.5869204114023183e-16,Daughter and Father_Iran
article,-0.020062857863267596,2.0907525650378764e-17,Daughter and Father_Iran
auxverb,-0.021561395505368907,5.513559007356155e-15,Daughter and Father_Iran
adverb,-0.022218054991725644,3.346386854992343e-43,Daughter and Father_Iran
family,-0.04599839445546906,1.2441320705953792e-28,Daughter and Father_Iran
male,-0.04674583163858472,3.545839254849897e-29,Daughter and Father_Iran
affect,-0.04990188538559398,0.00015119297794368965,Daughter and Father_Iran
female,-0.053631677681447214,5.598893521441597e-27,Daughter and Father_Iran
informal,-0.05650822080872168,2.2661333254513552e-33,Daughter and Father_Iran
