Feature,Coefficient,P>|t|,Merged_Label
bio,0.12912483952884327,1.0460633038781371e-243,Daughter and Father_UK
const,0.06250000000000004,0.0,Daughter and Father_UK
affect,0.05840465849021115,5.016044510248285e-06,Daughter and Father_UK
nonflu,0.028863191576385634,1.948536120477723e-23,Daughter and Father_UK
netspeak,0.019316289360701303,7.592595382208167e-52,Daughter and Father_UK
article,0.018377799335149724,1.210712453404909e-15,Daughter and Father_UK
differ,0.01695115270396437,2.5306477743033393e-06,Daughter and Father_UK
time,0.01242714895124928,0.022654729752951592,Daughter and Father_UK
focuspresent,0.011032921108458002,0.0015553474610405273,Daughter and Father_UK
insight,0.009462287831744472,0.005795869277008114,Daughter and Father_UK
focuspast,0.007126244148264903,1.3118269449085133e-05,Daughter and Father_UK
prep,0.006736057605067753,0.004230756922207634,Daughter and Father_UK
tentat,0.006421905503482273,0.0002593377303805742,Daughter and Father_UK
certain,0.0055987222496086345,0.002349635238557991,Daughter and Father_UK
achiev,0.005208116988365123,0.0024249833241666574,Daughter and Father_UK
quant,0.005192112333470625,0.001207287978461884,Daughter and Father_UK
temperature,0.005003112887438972,7.013831558451658e-05,Daughter and Father_UK
cause,0.0044482085152949555,0.0159927734476291,Daughter and Father_UK
leisure,0.004423279971287672,0.004694104742233865,Daughter and Father_UK
adj,0.004371474342127018,0.004552799259535457,Daughter and Father_UK
work,0.0030634710839184233,0.029323813277476678,Daughter and Father_UK
compare,-0.0029758738875344448,0.0403759039875997,Daughter and Father_UK
home,-0.003348774242722007,0.02040432537663305,Daughter and Father_UK
death,-0.003470109468188611,0.0022019418646051976,Daughter and Father_UK
anx,-0.005585369354606153,0.0009986558802508932,Daughter and Father_UK
friend,-0.006583211445693748,0.044545511196251684,Daughter and Father_UK
conj,-0.0065972248119152525,0.0002261422080490432,Daughter and Father_UK
relig,-0.007224826050073335,1.1646674625777602e-08,Daughter and Father_UK
male,-0.013648023679440633,0.0007464192699117442,Daughter and Father_UK
negemo,-0.014609554248437968,0.005415008472172981,Daughter and Father_UK
cogproc,-0.017310649076781332,0.0035937074582636404,Daughter and Father_UK
social,-0.020580409031238176,1.5982298604217928e-05,Daughter and Father_UK
sexual,-0.02217479667689282,8.169493103782e-56,Daughter and Father_UK
function,-0.023803663576124876,9.176890650872756e-06,Daughter and Father_UK
ingest,-0.02816662540340227,2.2185521193897594e-83,Daughter and Father_UK
female,-0.03428140567743853,1.4531793651108426e-12,Daughter and Father_UK
body,-0.05106022255211472,4.5410538537242446e-128,Daughter and Father_UK
health,-0.06121585960458631,3.3727243868949104e-186,Daughter and Father_UK
posemo,-0.06344377022580627,9.979563652128804e-07,Daughter and Father_UK
