Feature,Coefficient,P>|t|,Merged_Label
female,0.0841094928259272,7.116612412506517e-60,Daughter and Mother_Iran
assent,0.06297851687650147,3.122680004752161e-94,Daughter and Mother_Iran
const,0.06250000000000003,0.0,Daughter and Mother_Iran
verb,0.028080280131004474,2.939618540659958e-08,Daughter and Mother_Iran
function,0.024340707383904175,1.9675817605446014e-05,Daughter and Mother_Iran
percept,0.023762927924640756,0.040805665113613394,Daughter and Mother_Iran
friend,0.018613475263608573,9.070734909647065e-08,Daughter and Mother_Iran
netspeak,0.018315748393876848,1.1442063014403483e-41,Daughter and Mother_Iran
nonflu,0.017310149347563208,1.773111902650808e-08,Daughter and Mother_Iran
cogproc,0.01451210195087138,0.02160459808007937,Daughter and Mother_Iran
negemo,0.01276436471715008,0.022206351310956666,Daughter and Mother_Iran
interrog,0.010758630490520688,8.94518355043648e-12,Daughter and Mother_Iran
swear,0.009412381613109817,9.928274178619467e-13,Daughter and Mother_Iran
conj,0.007567328730055625,6.867974574281643e-05,Daughter and Mother_Iran
power,0.007309550165492774,0.014876156724627686,Daughter and Mother_Iran
home,0.006026317345012767,8.612296806076957e-05,Daughter and Mother_Iran
leisure,0.004662747941933387,0.005035651769466401,Daughter and Mother_Iran
sad,0.004564542565976462,0.041275694556656375,Daughter and Mother_Iran
relig,0.0043134953798448445,0.001346985006501469,Daughter and Mother_Iran
sexual,0.0029455870188234952,0.04874315844793373,Daughter and Mother_Iran
death,-0.0030965294432094533,0.010140218596710174,Daughter and Mother_Iran
anx,-0.0048862960046283715,0.006740148033618711,Daughter and Mother_Iran
ingest,-0.005001115185777087,0.0011924074522159937,Daughter and Mother_Iran
article,-0.006928280020897789,0.004504218231039317,Daughter and Mother_Iran
prep,-0.0069906559616130385,0.005212333164910216,Daughter and Mother_Iran
negate,-0.007392056230110753,0.0021824587695633995,Daughter and Mother_Iran
tentat,-0.007821654809643124,2.8297752194571814e-05,Daughter and Mother_Iran
discrep,-0.008639827453728483,3.696077228991541e-05,Daughter and Mother_Iran
focuspresent,-0.01245242284711344,0.000777247416417071,Daughter and Mother_Iran
see,-0.01987651059037747,0.0015064759136854968,Daughter and Mother_Iran
drives,-0.020016636190087853,0.01017333138850325,Daughter and Mother_Iran
insight,-0.02047554697678473,1.9351781991143278e-08,Daughter and Mother_Iran
hear,-0.02366429974643977,0.006499234212881993,Daughter and Mother_Iran
auxverb,-0.03255405903936333,3.232189002863274e-30,Daughter and Mother_Iran
family,-0.04227154258903081,4.958860896316943e-23,Daughter and Mother_Iran
informal,-0.08328005931817518,4.893614488499911e-66,Daughter and Mother_Iran
