Feature,Coefficient,P>|t|,Merged_Label
informal,0.07636403611237104,3.801400241779251e-57,Daughter and Mother_UK
const,0.06250000000000011,0.0,Daughter and Mother_UK
female,0.055902438707308634,4.373122763617317e-28,Daughter and Mother_UK
percept,0.03568342973180768,0.0018819995323630177,Daughter and Mother_UK
affiliation,0.028401276193764,0.0010253070048310661,Daughter and Mother_UK
verb,0.02571698352871032,2.7584720319255313e-07,Daughter and Mother_UK
auxverb,0.02222024553834221,2.9367859305211e-15,Daughter and Mother_UK
bio,0.013322066863862824,0.0009635573445780704,Daughter and Mother_UK
prep,0.009980284588511069,5.441279611142489e-05,Daughter and Mother_UK
achiev,0.007245129266095594,5.885421611111663e-05,Daughter and Mother_UK
reward,0.006900071112526953,0.03456133450703021,Daughter and Mother_UK
conj,0.0062875312331528346,0.0008161398456732164,Daughter and Mother_UK
adj,0.006003600372853486,0.00020688973893477234,Daughter and Mother_UK
article,0.005767642035132345,0.01671147452407007,Daughter and Mother_UK
certain,0.0042704280217750095,0.027119328244188782,Daughter and Mother_UK
adverb,0.004187097750448452,0.010812345051061163,Daughter and Mother_UK
temperature,0.00417824261850667,0.0015659655327413162,Daughter and Mother_UK
ingest,0.003157179729169851,0.03841456408486127,Daughter and Mother_UK
interrog,-0.003396435392672153,0.029239663369722356,Daughter and Mother_UK
body,-0.004569094057313204,0.03940722675970559,Daughter and Mother_UK
sexual,-0.004964694802653358,0.0007756177780688392,Daughter and Mother_UK
discrep,-0.005635786372326816,0.006457570167529617,Daughter and Mother_UK
focusfuture,-0.006501917022415838,4.2643502221060825e-05,Daughter and Mother_UK
health,-0.007583137511395718,0.0005538921058531799,Daughter and Mother_UK
swear,-0.008065975651595812,6.208681138231612e-10,Daughter and Mother_UK
friend,-0.008769248133805398,0.010821683526610714,Daughter and Mother_UK
nonflu,-0.010193425606901958,0.0007874875936427098,Daughter and Mother_UK
sad,-0.010508764064702627,1.994791706835319e-06,Daughter and Mother_UK
feel,-0.014413007809630084,0.002314777885739058,Daughter and Mother_UK
netspeak,-0.01443194679725038,3.9227699445517634e-27,Daughter and Mother_UK
male,-0.014962637987865186,0.00043075194282544694,Daughter and Mother_UK
negate,-0.015169650131732916,1.9900217875300106e-10,Daughter and Mother_UK
family,-0.021266822493942007,4.805733393162202e-07,Daughter and Mother_UK
function,-0.021522447636937923,0.00013368253282289725,Daughter and Mother_UK
see,-0.024310149551720252,8.579876786583393e-05,Daughter and Mother_UK
drives,-0.026757196870729673,0.0005084578602630256,Daughter and Mother_UK
focuspresent,-0.02729188540473099,9.219245650758422e-14,Daughter and Mother_UK
hear,-0.029972986142170685,0.0004864248036618206,Daughter and Mother_UK
assent,-0.08457924464481029,1.5797577797795937e-171,Daughter and Mother_UK
