Feature,Coefficient,P>|t|,Merged_Label
const,0.06249999999999999,0.0,Father and Daughter_Iran
social,0.03915427693853725,3.5522412033453647e-15,Father and Daughter_Iran
relativ,0.03621087521943034,0.0014826727656736538,Father and Daughter_Iran
assent,0.028925930705886747,4.409701828931931e-22,Father and Daughter_Iran
drives,0.023661099904663706,0.001964155112513626,Father and Daughter_Iran
negate,0.017670158990158454,8.527070611029306e-14,Father and Daughter_Iran
health,0.013364642839438872,8.922939997004287e-10,Father and Daughter_Iran
discrep,0.01250576952432226,1.1670688675236333e-09,Father and Daughter_Iran
sad,0.009627398507128938,1.1553922416361817e-05,Father and Daughter_Iran
body,0.00901784231189914,4.2458989821594906e-05,Father and Daughter_Iran
anx,0.008342296883701632,2.4362557861001864e-06,Father and Daughter_Iran
compare,0.004311436501864042,0.0043991664642696725,Father and Daughter_Iran
ingest,0.004148827283894739,0.006149661514585875,Father and Daughter_Iran
filler,0.0036368668134848826,0.0018932825386351706,Father and Daughter_Iran
sexual,0.002975559482391666,0.04247716279760397,Father and Daughter_Iran
work,-0.0033667802538060727,0.021638183656344435,Father and Daughter_Iran
quant,-0.0037292026833197745,0.025759088579736005,Father and Daughter_Iran
focuspast,-0.004361463251476108,0.0105227862800569,Father and Daughter_Iran
focusfuture,-0.0046821618445071645,0.002997287133441811,Father and Daughter_Iran
reward,-0.0064038022450484955,0.04824558376670625,Father and Daughter_Iran
article,-0.006431191366283245,0.007210593860613966,Father and Daughter_Iran
nonflu,-0.0065053692973845315,0.030957828380230454,Father and Daughter_Iran
achiev,-0.006636587145314189,0.00021075951924442033,Father and Daughter_Iran
certain,-0.006801461015954878,0.0003941465933469568,Father and Daughter_Iran
interrog,-0.007257415701551835,2.7221827192380163e-06,Father and Daughter_Iran
adj,-0.009646401908079782,1.9411296656448836e-09,Father and Daughter_Iran
prep,-0.011091838401677342,6.284513392081371e-06,Father and Daughter_Iran
motion,-0.011751477484769813,0.008763008529707478,Father and Daughter_Iran
affiliation,-0.018701043669902568,0.029460408496977675,Father and Daughter_Iran
time,-0.01894314641492078,0.0008631791509447771,Father and Daughter_Iran
verb,-0.020227049020587792,4.686667451783961e-05,Father and Daughter_Iran
space,-0.02100080988260311,0.0010585760407330845,Father and Daughter_Iran
differ,-0.02363904803360919,3.126008983789787e-10,Father and Daughter_Iran
bio,-0.03025186118862823,4.4913588520712126e-14,Father and Daughter_Iran
informal,-0.030375012702057096,1.6475443617025833e-10,Father and Daughter_Iran
family,-0.04086901859906609,2.0999960100317855e-22,Father and Daughter_Iran
male,-0.047036942989642894,8.38523899632556e-29,Father and Daughter_Iran
female,-0.057878729873646326,2.21698227114505e-30,Father and Daughter_Iran
