Feature,Coefficient,P>|t|,Merged_Label
bio,0.08689930977892851,6.595900579794436e-104,Father and Daughter_UK
family,0.06299148725682023,5.745377276277326e-51,Father and Daughter_UK
const,0.06250000000000037,0.0,Father and Daughter_UK
informal,0.050011963288334245,6.059305680881698e-26,Father and Daughter_UK
affect,0.03200904124111669,0.016274866032993388,Father and Daughter_UK
cogproc,0.023929602489625945,0.00011075281222036438,Father and Daughter_UK
focuspresent,0.0204288978918227,1.8419153507557584e-08,Father and Daughter_UK
auxverb,0.01256934154588837,6.653056293889776e-06,Father and Daughter_UK
adverb,0.01220354461262261,6.938814452230035e-14,Father and Daughter_UK
temperature,0.005103613529369726,9.809308097293173e-05,Father and Daughter_UK
negate,0.004845036033399905,0.04038249755184347,Father and Daughter_UK
adj,0.004668623875342656,0.003613561114091949,Father and Daughter_UK
conj,0.00442217534324818,0.017579859137646356,Father and Daughter_UK
quant,-0.005280874288849894,0.0015655097660820932,Father and Daughter_UK
leisure,-0.005381730961197801,0.0009538622792884395,Father and Daughter_UK
interrog,-0.006825664024170581,9.944048843666337e-06,Father and Daughter_UK
home,-0.006950813913808163,3.7984213132132702e-06,Father and Daughter_UK
swear,-0.007474286846342763,7.45553728858746e-09,Father and Daughter_UK
discrep,-0.009640183992566666,2.627432818986771e-06,Father and Daughter_UK
netspeak,-0.010090674741103573,2.7371076888633268e-14,Father and Daughter_UK
sexual,-0.01312620090446029,3.2917096347148845e-19,Father and Daughter_UK
social,-0.014893586437643075,0.002707510782893994,Father and Daughter_UK
ingest,-0.015994334661537064,4.100099865019613e-26,Father and Daughter_UK
affiliation,-0.01766381039426905,0.039436153016242696,Father and Daughter_UK
negemo,-0.017706614038864785,0.0012060929049565517,Father and Daughter_UK
insight,-0.017862652623664467,5.676002814405034e-07,Father and Daughter_UK
function,-0.02006890435902102,0.0003281694825743859,Father and Daughter_UK
posemo,-0.030799284049253032,0.022534799922906516,Father and Daughter_UK
body,-0.03341715559985865,5.583940799682625e-52,Father and Daughter_UK
assent,-0.035919512831418914,3.1212301080181027e-33,Father and Daughter_UK
health,-0.040110501876447165,1.918431629238508e-75,Father and Daughter_UK
male,-0.04338268562569842,8.020526451617276e-25,Father and Daughter_UK
female,-0.10651248731541298,1.624016958293889e-98,Father and Daughter_UK
