Feature,Coefficient,P>|t|,Culture,Character_Pair
const,0.12500000000000006,0.0,Iran,Daughter and Father
function,0.078568955835726,2.2568168794564443e-14,Iran,Daughter and Father
social,0.06015721819316725,6.35673612509212e-11,Iran,Daughter and Father
posemo,0.05073584658891421,0.03400769763480421,Iran,Daughter and Father
cogproc,0.03498848840187767,0.00287721382792082,Iran,Daughter and Father
friend,0.03228038378765685,1.4299925004644885e-07,Iran,Daughter and Father
assent,0.026679830396542013,0.011913757310770169,Iran,Daughter and Father
focusfuture,0.011776638858064552,0.0001484478847088053,Iran,Daughter and Father
home,0.009605535424492611,0.0010277304290104102,Iran,Daughter and Father
relig,-0.005146333996515333,0.042731191582580375,Iran,Daughter and Father
money,-0.006475891083781509,0.005910922042185994,Iran,Daughter and Father
work,-0.006673652929634272,0.02021705327125702,Iran,Daughter and Father
anger,-0.007722560782572348,0.012230885643493129,Iran,Daughter and Father
focuspast,-0.008104190361206971,0.0063957107494051445,Iran,Daughter and Father
quant,-0.008772451376088362,0.0013108370573924018,Iran,Daughter and Father
anx,-0.011527732256324695,0.001007959924917187,Iran,Daughter and Father
discrep,-0.013958208661978248,0.0004468250214708395,Iran,Daughter and Father
tentat,-0.01403992528991465,3.2698588374246823e-06,Iran,Daughter and Father
article,-0.01691573348504285,0.00022116550874300362,Iran,Daughter and Father
reward,-0.01715125263804304,0.0042441380060262565,Iran,Daughter and Father
prep,-0.018217222542289052,7.714356860538763e-05,Iran,Daughter and Father
conj,-0.018235840267007603,1.231275095287981e-07,Iran,Daughter and Father
auxverb,-0.019990157441993978,0.00040992322920194163,Iran,Daughter and Father
focuspresent,-0.020512075456593067,0.004349931687691878,Iran,Daughter and Father
adverb,-0.021128486237982913,1.8941373070865089e-13,Iran,Daughter and Father
insight,-0.024003226702317092,0.0002995323176559216,Iran,Daughter and Father
negate,-0.031335681259385254,5.730862813551623e-13,Iran,Daughter and Father
male,-0.056713165490193784,1.6480024366631567e-13,Iran,Daughter and Father
female,-0.07262689233260546,5.0999594605066577e-14,Iran,Daughter and Father
family,-0.08488268364332784,7.287395676369189e-19,Iran,Daughter and Father
const,0.12500000000000014,0.0,Iran,Daughter and Mother
female,0.11882586488302413,4.308865773968555e-34,Iran,Daughter and Mother
posemo,0.10664799813575547,1.0416731959565e-05,Iran,Daughter and Mother
