Feature,Coefficient,P>|t|,Merged_Label
female,0.08789063871481625,6.07490791655911e-65,Mother and Daughter_Iran
const,0.06250000000000021,0.0,Mother and Daughter_Iran
affect,0.05416119638733565,7.024191116911807e-05,Mother and Daughter_Iran
assent,0.045969285478472004,5.16952542346803e-51,Mother and Daughter_Iran
hear,0.03053152109432073,0.00045787205738883485,Mother and Daughter_Iran
affiliation,0.026480096115001364,0.0025334249060259776,Mother and Daughter_Iran
feel,0.024778864847411902,2.4043509600333794e-07,Mother and Daughter_Iran
focuspresent,0.021713088615484464,4.981831158433916e-09,Mother and Daughter_Iran
negate,0.020561850050767203,1.8455824544153076e-17,Mother and Daughter_Iran
see,0.0192695578665465,0.0021366529158859163,Mother and Daughter_Iran
conj,0.0158874211953594,7.541408711054311e-17,Mother and Daughter_Iran
sad,0.015281818428956017,9.296553264815907e-12,Mother and Daughter_Iran
adverb,0.011899711914679737,9.225149601985179e-13,Mother and Daughter_Iran
power,0.010959684053919769,0.00026819937697355957,Mother and Daughter_Iran
insight,0.01054219342758704,0.0038868368249763137,Mother and Daughter_Iran
discrep,0.008829884689971982,2.573862162904629e-05,Mother and Daughter_Iran
netspeak,0.008373522202402242,6.551011454388145e-10,Mother and Daughter_Iran
swear,0.007921208702843473,2.0905418280833077e-09,Mother and Daughter_Iran
anx,0.007611278833370218,2.5325889421770292e-05,Mother and Daughter_Iran
health,0.006964669778560646,0.001759775985302593,Mother and Daughter_Iran
cause,0.006842582027687626,0.0005004668777828902,Mother and Daughter_Iran
tentat,0.006348715167163811,0.0006942447563491436,Mother and Daughter_Iran
sexual,0.006207261482279575,3.402931366068794e-05,Mother and Daughter_Iran
compare,0.005526001819811069,0.00035024092638030367,Mother and Daughter_Iran
body,0.004512132544989954,0.04482842835021877,Mother and Daughter_Iran
risk,0.004066116182131058,0.029360377561923022,Mother and Daughter_Iran
leisure,0.003891633274684505,0.019471380762066594,Mother and Daughter_Iran
focuspast,0.0038423242255241144,0.027296854442790373,Mother and Daughter_Iran
relig,-0.0037951012790678213,0.004876818261035061,Mother and Daughter_Iran
focusfuture,-0.004060545899757831,0.011703115891880684,Mother and Daughter_Iran
prep,-0.005149405127792463,0.039990125341489664,Mother and Daughter_Iran
auxverb,-0.005832512371762841,0.040924893415069455,Mother and Daughter_Iran
adj,-0.01048395768902959,1.6677306125165263e-10,Mother and Daughter_Iran
social,-0.010579158740026644,0.037217786399499554,Mother and Daughter_Iran
friend,-0.014068539520748862,5.532178722758865e-05,Mother and Daughter_Iran
negemo,-0.017129884511941848,0.002192292351699071,Mother and Daughter_Iran
function,-0.021270165488802506,0.00019693519079565689,Mother and Daughter_Iran
bio,-0.02545172446446945,5.01803376089385e-10,Mother and Daughter_Iran
cogproc,-0.027999108631068775,9.727119915577219e-06,Mother and Daughter_Iran
percept,-0.033291948084134,0.004235208111808611,Mother and Daughter_Iran
family,-0.047244719892168795,3.0000612579130517e-28,Mother and Daughter_Iran
informal,-0.05215935130897011,6.405187401116376e-27,Mother and Daughter_Iran
posemo,-0.053487408982637645,0.00010708160608380876,Mother and Daughter_Iran
