Feature,Coefficient,P>|t|,Merged_Label
informal,0.08467276756595032,2.977212580463936e-68,Mother and Daughter_UK
const,0.0625,0.0,Mother and Daughter_UK
posemo,0.04491191901831155,0.0011110272956418247,Mother and Daughter_UK
female,0.0432534543045987,4.176167728366908e-17,Mother and Daughter_UK
affiliation,0.03100682436130651,0.0003942609460945372,Mother and Daughter_UK
auxverb,0.030557005469404788,7.544691729718104e-27,Mother and Daughter_UK
adverb,0.013564761459052808,3.361548614670919e-16,Mother and Daughter_UK
body,0.007464917767432428,0.000877841762444731,Mother and Daughter_UK
prep,0.006124173095467906,0.014345633790451721,Mother and Daughter_UK
ingest,0.004725710120914882,0.0021865676146999055,Mother and Daughter_UK
achiev,0.004265312433537918,0.019369279561569336,Mother and Daughter_UK
temperature,0.003150383211444141,0.018412335431626157,Mother and Daughter_UK
sad,-0.006586403542713595,0.003219681995924324,Mother and Daughter_UK
interrog,-0.006586531082240051,2.9207273017091373e-05,Mother and Daughter_UK
negate,-0.006649495143356739,0.005821197217115793,Mother and Daughter_UK
swear,-0.007111126889964792,6.999985260353456e-08,Mother and Daughter_UK
bio,-0.008526023748321994,0.036739160466653584,Mother and Daughter_UK
family,-0.01324755434415036,0.0019326051278896186,Mother and Daughter_UK
netspeak,-0.016306802936004977,1.9779469942427465e-33,Mother and Daughter_UK
nonflu,-0.01700570667268051,3.0894713805339786e-08,Mother and Daughter_UK
verb,-0.017173698586154307,0.0006906168794292989,Mother and Daughter_UK
male,-0.018815633525318554,1.2061332599933442e-05,Mother and Daughter_UK
function,-0.019288048513436386,0.0007139343196283255,Mother and Daughter_UK
social,-0.020509668362330796,5.157331986023353e-05,Mother and Daughter_UK
affect,-0.03953125512601867,0.0036287299317643716,Mother and Daughter_UK
assent,-0.07705665717099644,8.138853514495719e-140,Mother and Daughter_UK
