Feature,Coefficient,P>|t|,Merged_Label
affect,0.13387620538531628,2.73813211960312e-23,Mother and Son_Iran
family,0.06352116058740917,8.460257446893531e-51,Mother and Son_Iran
const,0.06249999999999989,0.0,Mother and Son_Iran
assent,0.048311242723896045,1.7701414615892112e-57,Mother and Son_Iran
female,0.019100769836853142,0.0001760841267380765,Mother and Son_Iran
nonflu,0.01581658022706679,1.9912020538340163e-07,Mother and Son_Iran
negate,0.01256893873960991,1.4144715435578614e-07,Mother and Son_Iran
power,0.012422571854188644,2.8975066425446133e-05,Mother and Son_Iran
insight,0.01087303289913637,0.0025744592611715317,Mother and Son_Iran
focuspresent,0.010785116157056303,0.003272290074854849,Mother and Son_Iran
discrep,0.008520972071585819,3.939301755148434e-05,Mother and Son_Iran
sad,0.0071235767559681955,0.0012924669465760787,Mother and Son_Iran
conj,0.006688414170860352,0.000378108403935423,Mother and Son_Iran
health,0.006460889567589266,0.003308507651287271,Mother and Son_Iran
adverb,0.0061030647847896274,0.0002082476169116237,Mother and Son_Iran
relig,0.005420415064919957,4.703289606647955e-05,Mother and Son_Iran
anger,0.004763907141514022,0.0017886281087056036,Mother and Son_Iran
compare,0.004636757154403071,0.00239181374765368,Mother and Son_Iran
interrog,0.0038823412016605417,0.012842198409129294,Mother and Son_Iran
money,0.0036438488220923177,0.0036015196880416966,Mother and Son_Iran
focusfuture,-0.0031523216020439317,0.047565552732463184,Mother and Son_Iran
focuspast,-0.007582964470410992,1.037274789975744e-05,Mother and Son_Iran
male,-0.010513963061073514,0.013514839536024904,Mother and Son_Iran
cogproc,-0.014829992306412725,0.017700109631010066,Mother and Son_Iran
friend,-0.022965598297210163,2.7111765262475377e-11,Mother and Son_Iran
informal,-0.04347898396672788,1.2196762403057697e-19,Mother and Son_Iran
negemo,-0.04764588762000735,6.6854854491522876e-18,Mother and Son_Iran
posemo,-0.13885816087330105,2.5725807906391637e-24,Mother and Son_Iran
