Feature,Coefficient,P>|t|,Merged_Label
informal,0.08281220923140864,1.1922221439237765e-66,Mother and Son_UK
const,0.06249999999999999,0.0,Mother and Son_UK
posemo,0.060569916562840456,8.940533771559974e-06,Mother and Son_UK
family,0.054983919971820006,1.5372262412632868e-38,Mother and Son_UK
friend,0.039557428959629104,1.897420215588712e-30,Mother and Son_UK
focuspresent,0.029708668959767266,5.547326207960693e-16,Mother and Son_UK
relativ,0.026678086479693584,0.020246757180433006,Mother and Son_UK
auxverb,0.019719606774036957,2.6438148669126134e-12,Mother and Son_UK
negate,0.01578758555888559,3.810275946907524e-11,Mother and Son_UK
negemo,0.015447630760653233,0.005166778461418626,Mother and Son_UK
tentat,0.01255820080878468,1.1129185134914097e-11,Mother and Son_UK
prep,0.011940671279432791,1.4273952380435904e-06,Mother and Son_UK
quant,0.011317767459598569,1.9679841696225248e-11,Mother and Son_UK
article,0.010369395540444486,1.7431269144001167e-05,Mother and Son_UK
focuspast,0.008545309816546009,6.721006382599037e-07,Mother and Son_UK
body,0.008025176218261777,0.0003033397115903002,Mother and Son_UK
insight,0.007794654455707392,0.030669898505007565,Mother and Son_UK
focusfuture,0.005375680531203442,0.0007279059367738431,Mother and Son_UK
health,0.004657930995949001,0.03416627582487343,Mother and Son_UK
discrep,0.004428339068846392,0.032603369970506176,Mother and Son_UK
ingest,0.0038582426041478468,0.011525643653774396,Mother and Son_UK
sexual,0.002960583198576161,0.04532917736321654,Mother and Son_UK
filler,0.002834150137753735,0.016373348079058176,Mother and Son_UK
temperature,-0.0032637536082515037,0.013645439769696687,Mother and Son_UK
adj,-0.0037680496799563784,0.020046899491706002,Mother and Son_UK
achiev,-0.00395689488370529,0.02845381014485996,Mother and Son_UK
leisure,-0.004489366312013962,0.006358236581648109,Mother and Son_UK
adverb,-0.006195889281180585,0.0001661121277942644,Mother and Son_UK
home,-0.007744636271026876,3.4190700031272657e-07,Mother and Son_UK
netspeak,-0.014760007942644897,3.18449027418962e-28,Mother and Son_UK
bio,-0.015884190050897425,8.500774297379578e-05,Mother and Son_UK
social,-0.02125288881426705,2.2652873024690516e-05,Mother and Son_UK
male,-0.023720466947008457,2.5175344506296288e-08,Mother and Son_UK
nonflu,-0.031106031496383774,1.5682824856084409e-24,Mother and Son_UK
function,-0.03141586127618358,2.6002005698202007e-08,Mother and Son_UK
verb,-0.04596607838939152,4.798648242565496e-20,Mother and Son_UK
affect,-0.053515835434412275,6.980874721533334e-05,Mother and Son_UK
assent,-0.0596236430740777,1.930287297863359e-86,Mother and Son_UK
