Feature,Coefficient,P>|t|,Merged_Label
ipron,0.3411183224946662,0.015854200292524954,agreement_Iran
ppron,0.31962895774493955,0.006666636499783528,agreement_Iran
i,0.2605634936470176,0.002181524951114749,agreement_Iran
assent,0.1714738514935333,0.0,agreement_Iran
const,0.16666666666666588,0.0,agreement_Iran
you,0.15275699806642773,0.016466592805771046,agreement_Iran
function,0.12945564553615946,1.053250814149216e-73,agreement_Iran
we,0.10828398175201294,0.026988282594975797,agreement_Iran
drives,0.09491040523624142,1.623992305842441e-22,agreement_Iran
nonflu,0.08413091344294678,4.0670528784445287e-106,agreement_Iran
posemo,0.08234263753984337,1.6652604135514253e-06,agreement_Iran
shehe,0.06957044367143299,0.008170490997871274,agreement_Iran
relativ,0.051954873234987015,0.0003342469244796729,agreement_Iran
they,0.04250274396804167,0.015585603393513487,agreement_Iran
family,0.03828667073957072,7.061894360273493e-13,agreement_Iran
health,0.03448360303980137,1.8388059302962192e-35,agreement_Iran
body,0.03241971195262271,5.943297932377375e-31,agreement_Iran
negemo,0.03191490715909849,4.5740106242352085e-06,agreement_Iran
sexual,0.03180562705367952,5.211198594783025e-65,agreement_Iran
social,0.028143399807993165,8.528378079650283e-06,agreement_Iran
insight,0.02643824279300947,6.057887174488361e-09,agreement_Iran
swear,0.01596532205419056,3.171183909367461e-22,agreement_Iran
temperature,0.014303047289304887,1.018323903082228e-17,agreement_Iran
cause,0.013648625496083207,2.46286188284259e-08,agreement_Iran
feel,0.012758061286994849,0.03263989162005436,agreement_Iran
relig,0.01155386402390351,5.890789875590503e-12,agreement_Iran
differ,0.00942832430949076,0.048280029166077,agreement_Iran
tentat,0.006022721997240388,0.009745332565602435,agreement_Iran
certain,0.004979315542997989,0.04122482596456456,agreement_Iran
number,0.003907532239457147,0.012585949572665645,agreement_Iran
quant,-0.004644236377573514,0.028913293935730156,agreement_Iran
conj,-0.005852341360930087,0.013575038891039925,agreement_Iran
work,-0.006724249986314261,0.00030805949295758064,agreement_Iran
money,-0.009312086021241105,3.587772393836711e-09,agreement_Iran
achiev,-0.009868942368835539,1.4566747032296276e-05,agreement_Iran
anger,-0.009985480094386729,2.057574919648909e-07,agreement_Iran
interrog,-0.010717670600875202,5.052788244713635e-08,agreement_Iran
risk,-0.011667363185596016,5.146420378340568e-07,agreement_Iran
sad,-0.017088837425154147,9.140466860299037e-10,agreement_Iran
focuspast,-0.017133105878891972,2.7282507863668218e-15,agreement_Iran
leisure,-0.018815642927052352,1.2014813260118767e-19,agreement_Iran
affiliation,-0.024130157847933927,0.02709474454256319,agreement_Iran
focusfuture,-0.024557792299616587,2.0247135665470752e-34,agreement_Iran
adverb,-0.03286750617133055,2.168063392469596e-56,agreement_Iran
power,-0.033306030077504295,6.012036074585416e-19,agreement_Iran
space,-0.0351244845631484,1.6450060435318943e-05,agreement_Iran
friend,-0.03581630128282171,1.6896508243685875e-16,agreement_Iran
time,-0.037006287332029264,3.0574730822767957e-07,agreement_Iran
reward,-0.037861826473361775,4.2235526640748243e-20,agreement_Iran
focuspresent,-0.03793777947249073,2.298083872994407e-16,agreement_Iran
female,-0.04281204875516206,2.558573362251556e-11,agreement_Iran
prep,-0.04750832468109481,3.7072760515594946e-52,agreement_Iran
article,-0.0497703339838726,6.095034859204087e-60,agreement_Iran
auxverb,-0.05161882389654089,1.0157677720241909e-47,agreement_Iran
affect,-0.053877434106925914,0.0014893540129280482,agreement_Iran
male,-0.05705193492985308,2.2337098051213997e-26,agreement_Iran
cogproc,-0.06692134763988755,2.0855224557933974e-17,agreement_Iran
negate,-0.08295388108489182,1.364418151320627e-165,agreement_Iran
bio,-0.08560037044444477,3.9434086341234073e-63,agreement_Iran
informal,-0.16179246289743696,1.508056765600911e-156,agreement_Iran
pronoun,-0.6651724189823461,0.009546548460962511,agreement_Iran
