Feature,Coefficient,P>|t|,Merged_Label
pronoun,2.5603325215948756,1.510281225161548e-20,agreement_UK
const,0.1666666666666696,0.0,agreement_UK
male,0.09915554067176544,3.114936841399418e-66,agreement_UK
space,0.08639682327946702,5.574440711628112e-23,agreement_UK
auxverb,0.0863793538755624,6.098366252030008e-113,agreement_UK
female,0.08040415813740583,1.8833650690402017e-31,agreement_UK
posemo,0.07622775054958994,3.58100661567796e-05,agreement_UK
time,0.0649290690043869,5.801792643326916e-17,agreement_UK
insight,0.06431554431209545,1.290589848933676e-39,agreement_UK
article,0.06246347864115206,3.275128378587827e-81,agreement_UK
focuspast,0.05785600019539732,1.665612261810427e-135,agreement_UK
bio,0.05624029676570886,8.513798700209699e-25,agreement_UK
informal,0.04706053275170975,3.8955734094359195e-13,agreement_UK
conj,0.03452496770980179,7.525021169701729e-42,agreement_UK
adverb,0.034287499598012826,2.077262999471767e-53,agreement_UK
discrep,0.0334342059997172,9.51254240422404e-33,agreement_UK
certain,0.03276887379781661,6.909813419564792e-36,agreement_UK
percept,0.03095867674787277,0.04647247780059465,agreement_UK
motion,0.027440130542216196,7.223154115316425e-06,agreement_UK
prep,0.02421395703937737,4.921649149080588e-13,agreement_UK
quant,0.02396694239375555,8.707917742669966e-26,agreement_UK
drives,0.02256165416924871,0.030446376637494638,agreement_UK
anx,0.022159167827920066,4.500940792850971e-20,agreement_UK
cause,0.019411485186696057,1.4757009638940399e-13,agreement_UK
compare,0.014986358969900106,3.989751832458701e-13,agreement_UK
friend,0.011283528317481466,0.015478509986697859,agreement_UK
leisure,0.010019178956267579,6.7166071472758295e-06,agreement_UK
focusfuture,0.0075692233767460934,0.00043516793166949424,agreement_UK
anger,0.006326890365588143,0.002159087920266848,agreement_UK
achiev,0.00546939154891601,0.025138406852319772,agreement_UK
ingest,-0.005193425160809574,0.01192188490577439,agreement_UK
filler,-0.005269853308253664,0.000966040201055548,agreement_UK
sad,-0.0072825324877467245,0.014989814524862498,agreement_UK
sexual,-0.008625028097741115,1.6236322693019233e-05,agreement_UK
swear,-0.010612112556669525,1.877733231475667e-09,agreement_UK
focuspresent,-0.011366656376957544,0.02189736433953851,agreement_UK
relig,-0.011756115857941195,6.73562074943316e-11,agreement_UK
interrog,-0.01182022369197782,2.1312047905096746e-08,agreement_UK
risk,-0.012264971407083835,8.706950000983929e-07,agreement_UK
feel,-0.01358461204339177,0.033997845300456866,agreement_UK
temperature,-0.014658839009221276,2.664140978946756e-16,agreement_UK
body,-0.017096570302903957,1.2734265082255644e-08,agreement_UK
work,-0.01750997854606542,2.0762025830535534e-18,agreement_UK
home,-0.017717105992294393,6.594571894161931e-18,agreement_UK
see,-0.01842313772180251,0.02796841236743846,agreement_UK
power,-0.023196982246055275,7.76960932665167e-09,agreement_UK
negemo,-0.02485437775183468,0.0008785714354627191,agreement_UK
hear,-0.02535393566713677,0.029364643308800693,agreement_UK
assent,-0.02727730374306194,2.359142064777734e-11,agreement_UK
social,-0.02746653044652131,5.146447812682284e-05,agreement_UK
verb,-0.030857358576026065,5.28950918250695e-06,agreement_UK
health,-0.03706225863482821,1.425137228471939e-35,agreement_UK
nonflu,-0.05425679660401202,1.1726516161902726e-39,agreement_UK
cogproc,-0.060025223279110834,1.274057630272307e-12,agreement_UK
family,-0.06957981781384201,5.776970672297597e-34,agreement_UK
relativ,-0.1021268881716512,5.028619803642529e-11,agreement_UK
function,-0.1638640805876039,1.2142820995387598e-101,agreement_UK
they,-0.16986630318641535,2.1918122796331647e-19,agreement_UK
shehe,-0.2872911862295432,2.6386221659405515e-24,agreement_UK
we,-0.48290628019491944,4.038367968031009e-20,agreement_UK
you,-0.5996348172336764,1.790858795414163e-18,agreement_UK
i,-0.8504294785502222,1.2102738990796146e-20,agreement_UK
ppron,-1.1627938821106831,3.8071375868713313e-20,agreement_UK
ipron,-1.3548217351277738,4.488516458036967e-19,agreement_UK
