Feature,Coefficient,P>|t|,Merged_Label
informal,0.17969070309006477,2.1846192128074396e-168,disagreement_UK
const,0.16666666666666613,0.0,disagreement_UK
you,0.14416351087970392,0.034388234683121015,disagreement_UK
affect,0.08544548805513558,2.4986162006410006e-06,disagreement_UK
verb,0.08497993797501072,3.396408091629507e-36,disagreement_UK
male,0.06308928059744832,4.641410931828418e-28,disagreement_UK
differ,0.057380428014824916,3.120921562317785e-29,disagreement_UK
relativ,0.05630769237266699,0.0002795931445976797,disagreement_UK
prep,0.0460814917473178,3.33771881895146e-43,disagreement_UK
affiliation,0.02959575606773391,0.011293804656876016,disagreement_UK
female,0.02918234835301473,2.137792236112805e-05,disagreement_UK
achiev,0.026952297636225604,2.022923906363065e-28,disagreement_UK
bio,0.025657987366539306,2.5153912870013217e-06,disagreement_UK
quant,0.023966101482709296,6.366076500882958e-26,disagreement_UK
reward,0.017239149079505543,9.25606106261739e-05,disagreement_UK
risk,0.01606430586292711,1.0462729107677742e-10,disagreement_UK
auxverb,0.015743973513530886,3.4370155262572084e-05,disagreement_UK
nonflu,0.015611261968707916,0.00014079788231971237,disagreement_UK
adj,0.013785152296198493,2.844611354976007e-10,disagreement_UK
temperature,0.01187654624629298,2.860683128431381e-11,disagreement_UK
money,0.006197106057240555,0.00024110018489455776,disagreement_UK
work,0.004322495888866262,0.030156950083426184,disagreement_UK
number,0.003990313433634626,0.017241252430934557,disagreement_UK
relig,-0.0045160540890125354,0.011907252836819527,disagreement_UK
adverb,-0.005978264373271685,0.007052397522842464,disagreement_UK
home,-0.0062205930461957885,0.002388192920799304,disagreement_UK
cause,-0.008118693990014608,0.0019331681674361807,disagreement_UK
sexual,-0.008563218637316147,1.7665004861972717e-05,disagreement_UK
body,-0.009381541654151454,0.0017391952686477766,disagreement_UK
leisure,-0.01243805614062774,2.0826270496129677e-08,disagreement_UK
article,-0.012523904206094345,0.00011953075326661388,disagreement_UK
interrog,-0.014590258875914126,4.1349673904797556e-12,disagreement_UK
feel,-0.019795597171467477,0.0019475057276422685,disagreement_UK
tentat,-0.02048121977635165,2.1832898901861673e-16,disagreement_UK
health,-0.020637656621742564,3.482917597822659e-12,disagreement_UK
discrep,-0.02075379062496522,1.1393729137128808e-13,disagreement_UK
ingest,-0.021844235867262262,3.029777523136543e-26,disagreement_UK
family,-0.023175291613972655,4.8671442907723255e-05,disagreement_UK
focuspast,-0.025179310372735693,1.9839476104726968e-27,disagreement_UK
certain,-0.025468754746267187,1.8094004291973802e-22,disagreement_UK
compare,-0.026054279301353858,1.2515947137260834e-36,disagreement_UK
anx,-0.026130839208669956,2.033525947141747e-27,disagreement_UK
anger,-0.026378802613200875,1.4092397786056412e-37,disagreement_UK
social,-0.029198953279753154,1.5854948203280193e-05,disagreement_UK
function,-0.031106830725336123,4.3620580207097766e-05,disagreement_UK
focusfuture,-0.032332996649758486,3.605954820844275e-51,disagreement_UK
time,-0.03234941484625936,2.8746380148341258e-05,disagreement_UK
netspeak,-0.03240703044668956,9.730164734089445e-72,disagreement_UK
space,-0.03976699876214902,5.146357663377232e-06,disagreement_UK
insight,-0.04086656169802116,4.5118376566010274e-17,disagreement_UK
focuspresent,-0.0713338466746716,4.774555042027855e-47,disagreement_UK
posemo,-0.12326697957279044,2.0679177277993916e-11,disagreement_UK
assent,-0.2089965594237675,0.0,disagreement_UK
