Feature,Coefficient,P>|t|,Merged_Label
const,0.16666666666666655,0.0,neutral_Iran
function,0.14848987698872868,3.27237907603277e-69,neutral_Iran
assent,0.1413200107490152,5.2431506517702796e-213,neutral_Iran
focuspresent,0.07593626117551433,1.2769400406008067e-43,neutral_Iran
shehe,0.07108826916233818,0.02254544167560189,neutral_Iran
see,0.04352483692762179,2.5817316576429473e-06,neutral_Iran
nonflu,0.04040611978116747,5.913686353688154e-19,neutral_Iran
family,0.04016067382016729,2.0784880677968114e-10,neutral_Iran
insight,0.034271116201084154,1.9946383607306744e-10,neutral_Iran
netspeak,0.031630767803938926,3.3885044679348988e-56,neutral_Iran
social,0.029954048188503057,6.365289411125924e-05,neutral_Iran
focusfuture,0.028425780678043435,6.250439788903507e-33,neutral_Iran
negemo,0.025164804505908297,0.0022848462568189486,neutral_Iran
discrep,0.024768079312278812,1.243155739057258e-15,neutral_Iran
power,0.023431162850013357,1.281401990475626e-07,neutral_Iran
health,0.02160077692691245,4.8439064574920316e-11,neutral_Iran
feel,0.019943571690162625,0.00482192757537512,neutral_Iran
interrog,0.01909323691302999,2.5819432759359403e-16,neutral_Iran
home,0.014320851608839294,2.7402786375040775e-10,neutral_Iran
compare,0.01296832515471238,1.2924318436312666e-08,neutral_Iran
sad,0.012553907047145863,0.00014618731209208816,neutral_Iran
ingest,0.011547608814479188,4.1367917433649173e-07,neutral_Iran
work,0.01117692981948281,4.154764019506997e-07,neutral_Iran
relig,0.008425328723467584,2.269030726934087e-05,neutral_Iran
temperature,-0.006408314947766138,0.0011836005068127924,neutral_Iran
anger,-0.0064362031692995056,0.004713981381834345,neutral_Iran
bio,-0.014350436236972344,0.01742657231256905,neutral_Iran
adj,-0.014827781307655823,8.988718010644639e-10,neutral_Iran
quant,-0.015511619576185107,7.414302245220644e-10,neutral_Iran
differ,-0.016650743075868654,0.003244885977928025,neutral_Iran
achiev,-0.019541387988049486,4.384428136817128e-13,neutral_Iran
conj,-0.034010394960741916,1.1249795531867194e-33,neutral_Iran
percept,-0.034217300593817154,0.04626594446798055,neutral_Iran
prep,-0.03834639472388375,3.7097143048725374e-25,neutral_Iran
female,-0.041533194192867585,4.7126868056436005e-08,neutral_Iran
auxverb,-0.043243132853661326,9.794471128485398e-25,neutral_Iran
article,-0.045008672709627176,1.0472893033565388e-35,neutral_Iran
verb,-0.05712689194383419,2.3204006300478466e-14,neutral_Iran
affect,-0.061590593013484136,0.0021765793498459388,neutral_Iran
male,-0.07075795702190635,9.701405366592263e-29,neutral_Iran
informal,-0.17661056739935097,2.242925772444917e-133,neutral_Iran
