Feature,Coefficient,Std_Err,t_Statistic,P_>|t|,CI_025,CI_975
const,0.5,0.002,233.270,0.0,0.496,0.504
temperature,-0.0048,0.002,-1.952,0.051,-0.010,2.01e-05
generation_number,-7.718e-05,0.002,-0.036,0.971,-0.004,0.004
affect,-0.1407,0.024,-5.831,0.0,-0.188,-0.093
posemo,0.1222,0.025,4.886,0.0,0.073,0.171
informal,0.3891,0.008,49.641,0.0,0.374,0.404
netspeak,-0.0358,0.002,-14.633,0.0,-0.041,-0.031
negemo,0.009,0.010,0.887,0.375,-0.011,0.029
leisure,0.006,0.003,2.059,0.04,0.000,0.012
function,-0.2345,0.012,-20.339,0.0,-0.257,-0.212
article,0.0616,0.004,14.609,0.0,0.053,0.070
drives,-0.0185,0.013,-1.416,0.157,-0.044,0.007
power,-0.0152,0.005,-2.967,0.003,-0.025,-0.005
sad,-0.027,0.004,-6.361,0.0,-0.035,-0.019
bio,0.1855,0.008,23.481,0.0,0.170,0.201
body,-0.0684,0.004,-17.748,0.0,-0.076,-0.061
achiev,0.0171,0.003,5.338,0.0,0.011,0.023
adj,0.0284,0.003,9.477,0.0,0.023,0.034
cogproc,0.0344,0.013,2.647,0.008,0.009,0.060
discrep,-0.0198,0.004,-5.058,0.0,-0.027,-0.012
health,-0.097,0.004,-22.622,0.0,-0.105,-0.089
sexual,-0.0345,0.003,-13.022,0.0,-0.040,-0.029
prep,0.0824,0.005,17.744,0.0,0.073,0.092
adverb,0.0334,0.003,10.587,0.0,0.027,0.040
relativ,0.0195,0.020,0.995,0.32,-0.019,0.058
space,0.0226,0.011,1.990,0.047,0.000,0.045
time,0.0112,0.010,1.075,0.282,-0.009,0.032
work,-0.0012,0.003,-0.490,0.624,-0.006,0.004
certain,0.0091,0.004,2.439,0.015,0.002,0.016
assent,-0.3223,0.005,-61.105,0.0,-0.333,-0.312
risk,-0.002,0.003,-0.578,0.563,-0.009,0.005
anger,0.0022,0.003,0.796,0.426,-0.003,0.008
verb,0.0299,0.009,3.301,0.001,0.012,0.048
insight,-0.0267,0.007,-3.647,0.0,-0.041,-0.012
focuspast,0.0191,0.003,5.820,0.0,0.013,0.026
reward,0.0203,0.006,3.220,0.001,0.008,0.033
affiliation,-0.0068,0.015,-0.458,0.647,-0.036,0.022
social,-0.0797,0.009,-8.415,0.0,-0.098,-0.061
friend,0.073,0.005,14.371,0.0,0.063,0.083
money,-0.0014,0.002,-0.613,0.54,-0.006,0.003
percept,0.0433,0.019,2.295,0.022,0.006,0.080
feel,-0.0273,0.009,-3.138,0.002,-0.044,-0.010
motion,-0.0113,0.007,-1.669,0.095,-0.025,0.002
cause,0.0017,0.003,0.505,0.614,-0.005,0.009
differ,0.023,0.007,3.290,0.001,0.009,0.037
quant,0.0401,0.003,12.305,0.0,0.034,0.046
focuspresent,-0.01,0.006,-1.542,0.123,-0.023,0.003
home,-0.0307,0.003,-11.132,0.0,-0.036,-0.025
swear,-0.005,0.002,-2.140,0.032,-0.010,-0.000
anx,0.0053,0.004,1.511,0.131,-0.002,0.012
compare,-0.0208,0.003,-7.193,0.0,-0.026,-0.015
relig,-0.0341,0.002,-13.883,0.0,-0.039,-0.029
nonflu,-0.1054,0.005,-22.354,0.0,-0.115,-0.096
focusfuture,0.0033,0.003,1.155,0.248,-0.002,0.009
auxverb,0.0993,0.005,19.380,0.0,0.089,0.109
negate,0.0294,0.004,6.857,0.0,0.021,0.038
ingest,-0.0311,0.003,-10.718,0.0,-0.037,-0.025
death,-0.0014,0.002,-0.637,0.524,-0.006,0.003
tentat,0.0089,0.004,2.466,0.014,0.002,0.016
conj,0.023,0.003,6.883,0.0,0.016,0.029
pronoun,-0.3966,0.476,-0.834,0.404,-1.329,0.535
ipron,0.337,0.275,1.225,0.221,-0.202,0.876
filler,0.0014,0.002,0.634,0.526,-0.003,0.006
see,-0.0307,0.010,-2.928,0.003,-0.051,-0.010
hear,-0.033,0.013,-2.599,0.009,-0.058,-0.008
family,-0.1095,0.011,-9.987,0.0,-0.131,-0.088
female,0.1537,0.012,12.705,0.0,0.130,0.177
male,0.2008,0.009,23.312,0.0,0.184,0.218
number,0.0041,0.002,1.800,0.072,-0.000,0.009
ppron,0.1865,0.207,0.902,0.367,-0.219,0.592
shehe,-0.0127,0.050,-0.252,0.801,-0.111,0.086
interrog,-0.0477,0.003,-16.128,0.0,-0.053,-0.042
i,0.1243,0.145,0.855,0.393,-0.161,0.409
you,0.1193,0.116,1.031,0.302,-0.107,0.346
we,0.0912,0.082,1.118,0.263,-0.069,0.251
they,0.0501,0.032,1.548,0.122,-0.013,0.114
