model,culture,english_count,total_count,farsi_count
Qwen_Qwen2.5-1.5B-Instruct_IR,Iran,6000,6000,0
Qwen_Qwen2.5-1.5B-Instruct_UK,UK,6000,6000,0
Qwen_Qwen2.5-14B-Instruct-1M_IR,Iran,3437,6000,2563
Qwen_Qwen2.5-14B-Instruct-1M_UK,UK,6000,6000,0
Qwen_Qwen2.5-7B-Instruct-1M_IR,Iran,5238,6000,762
Qwen_Qwen2.5-7B-Instruct-1M_UK,UK,6000,6000,0
allenai_OLMo-2-1124-13B-Instruct_IR,Iran,3918,6000,2082
allenai_OLMo-2-1124-13B-Instruct_UK,UK,6000,6000,0
allenai_OLMo-2-1124-7B-Instruct_IR,Iran,5883,6000,117
allenai_OLMo-2-1124-7B-Instruct_UK,UK,6000,6000,0
deepseek-ai_deepseek-coder-6.7b-base_IR,Iran,5410,6000,590
deepseek-ai_deepseek-coder-6.7b-base_UK,UK,4886,6000,1114
deepseek-ai_deepseek-llm-7b-chat_IR,Iran,5634,6000,366
deepseek-ai_deepseek-llm-7b-chat_UK,UK,5976,6000,24
google_gemma-3-1b-it_IR,Iran,1561,1561,0
meta-llama_Llama-3.1-8B-Instruct_IR,Iran,5997,6000,3
meta-llama_Llama-3.1-8B-Instruct_UK,UK,5999,6000,1
meta-llama_Llama-3.2-1B-Instruct_IR,Iran,6000,6000,0
meta-llama_Llama-3.2-1B-Instruct_UK,UK,6000,6000,0
meta-llama_Llama-3.2-3B-Instruct_IR,Iran,6000,6000,0
meta-llama_Llama-3.2-3B-Instruct_UK,UK,6000,6000,0
microsoft_phi-4_IR,Iran,5791,6000,209
microsoft_phi-4_UK,UK,5701,6000,299
